alias,source,project,id,atd_item,text,introducing_commit_hash,introducing_date,filename,number_of_changes,fixing_commit_hash,payment_date,last_known_path,intro-FAN-IN,intro-FAN-OUT,payment-FAN-IN,payment-FAN-OUT,intro-sloc,payment-sloc,intro-complexity,payment-complexity,normalized_intro-FAN-IN,normalized_intro-FAN-OUT,normalized_payment-FAN-IN,normalized_payment-FAN-OUT
ATD-5,,,,HBASE-13871,,,,hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/NonReversedNonLazyKeyValueScanner.java,4,,,hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/NonReversedNonLazyKeyValueScanner.java,5,2,5,3,24,24,3,3,0.208333333333333,0.0833333333333333,0.208333333333333,0.125
ATD-5,,,,HBASE-13871,,,,hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/ReversedKeyValueHeap.java,7,,,hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/ReversedKeyValueHeap.java,3,3,4,6,126,125,28,28,0.0238095238095238,0.0238095238095238,0.032,0.048
ATD-5,,,,HBASE-13871,,,,hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/ReversedRegionScannerImpl.java,12,,,hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/ReversedRegionScannerImpl.java,1,6,2,10,44,45,8,8,0.0227272727272727,0.136363636363636,0.0444444444444444,0.222222222222222
ATD-5,,,,HBASE-13871,,,,hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/ReversedStoreScanner.java,7,,,hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/ReversedStoreScanner.java,3,7,3,10,89,90,18,18,0.0337078651685393,0.0786516853932584,0.0333333333333333,0.111111111111111
ATD-5,,,,HBASE-13871,,,,hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/ScanQueryMatcher.java,22,,,hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/ScanQueryMatcher.java,8,16,8,23,304,335,77,77,0.0263157894736842,0.0526315789473684,0.0238805970149254,0.0686567164179105
ATD-5,,,,HBASE-13871,,,,hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/StoreFile.java,40,,,hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/StoreFile.java,81,26,86,28,959,1000,226,226,0.0844629822732013,0.02711157455683,0.086,0.028
ATD-5,,,,HBASE-13871,,,,hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/StoreFileScanner.java,27,,,hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/StoreFileScanner.java,14,9,14,13,315,336,75,75,0.0444444444444444,0.0285714285714286,0.0416666666666667,0.0386904761904762
ATD-5,,,,HBASE-13871,,,,hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/StoreScanner.java,42,,,hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/StoreScanner.java,19,27,19,32,489,588,113,113,0.0388548057259714,0.0552147239263804,0.032312925170068,0.054421768707483
ATD-5,,,,HBASE-13871,,,,hbase-server/src/main/java/org/apache/hadoop/hbase/util/CollectionBackedScanner.java,6,,,hbase-server/src/main/java/org/apache/hadoop/hbase/util/CollectionBackedScanner.java,6,2,4,4,90,89,17,17,0.0666666666666667,0.0222222222222222,0.0449438202247191,0.0449438202247191
ATD-5,,,,HBASE-13871,,,,hbase-server/src/test/java/org/apache/hadoop/hbase/client/TestFromClientSide.java,58,,,hbase-server/src/test/java/org/apache/hadoop/hbase/client/TestFromClientSide.java,1,69,1,80,4304,4794,272,272,0.000232342007434944,0.0160315985130112,0.000208594075928244,0.0166875260742595
