alias,source,project,id,non_atd_item,text,introducing_commit_hash,introducing_date,filename,number_of_changes,fixing_commit_hash,payment_date,last_known_path,intro-FAN-IN,intro-FAN-OUT,payment-FAN-IN,payment-FAN-OUT,intro-sloc,payment-sloc,intro-complexity,payment-complexity,normalized_intro-FAN-IN,normalized_intro-FAN-OUT,normalized_payment-FAN-IN,normalized_payment-FAN-OUT,
NON-ATD-2,,,,CAMEL-10291,,,,components/camel-rabbitmq/src/main/java/org/apache/camel/component/rabbitmq/reply/ReplyManager.java,4,,,components/camel-rabbitmq/src/main/java/org/apache/camel/component/rabbitmq/reply/ReplyManager.java,4,3,4,3,15,16,0,0,0.266666666666667,0.2,0.25,0.1875,
NON-ATD-2,,,,CAMEL-10291,,,,components/camel-rabbitmq/src/main/java/org/apache/camel/component/rabbitmq/reply/ReplyManagerSupport.java,7,,,components/camel-rabbitmq/src/main/java/org/apache/camel/component/rabbitmq/reply/ReplyManagerSupport.java,1,17,1,18,163,169,30,32,0.00613496932515337,0.104294478527607,0.00591715976331361,0.106508875739645,
NON-ATD-2,,,,CAMEL-10291,,,,components/camel-rabbitmq/src/main/java/org/apache/camel/component/rabbitmq/reply/TemporaryQueueReplyHandler.java,3,,,components/camel-rabbitmq/src/main/java/org/apache/camel/component/rabbitmq/reply/TemporaryQueueReplyHandler.java,2,6,2,5,35,34,3,3,0.0571428571428571,0.171428571428571,0.0588235294117647,0.147058823529412,
NON-ATD-2,,,,CAMEL-10291,,,,components/camel-rabbitmq/src/main/java/org/apache/camel/component/rabbitmq/reply/TemporaryQueueReplyManager.java,5,,,components/camel-rabbitmq/src/main/java/org/apache/camel/component/rabbitmq/reply/TemporaryQueueReplyManager.java,1,8,1,8,90,90,17,17,0.0111111111111111,0.0888888888888889,0.0111111111111111,0.0888888888888889,
NON-ATD-2,,,,CAMEL-10291,,,,components/camel-rabbitmq/src/main/java/org/apache/camel/component/rabbitmq/reply/UseMessageIdAsCorrelationIdMessageSentCallback.java,2,,,components/camel-rabbitmq/src/main/java/org/apache/camel/component/rabbitmq/reply/UseMessageIdAsCorrelationIdMessageSentCallback.java,0,2,0,2,19,19,3,3,0,0.105263157894737,0,0.105263157894737,
NON-ATD-2,,,,CAMEL-10291,,,,components/camel-rabbitmq/src/test/java/org/apache/camel/component/rabbitmq/RabbitMQEndpointTest.java,8,,,components/camel-rabbitmq/src/test/java/org/apache/camel/component/rabbitmq/RabbitMQEndpointTest.java,0,9,0,9,198,219,16,20,0,0.0454545454545455,0,0.0410958904109589,
NON-ATD-2,,,,CAMEL-10291,,,,components/camel-rabbitmq/src/test/java/org/apache/camel/component/rabbitmq/RabbitMQInOutIntTest.java,5,,,components/camel-rabbitmq/src/test/java/org/apache/camel/component/rabbitmq/RabbitMQInOutIntTest.java,0,13,0,19,145,209,20,27,0,0.0896551724137931,0,0.0909090909090909,
NON-ATD-2,,,,CAMEL-10291,,,,components/camel-rabbitmq/src/test/java/org/apache/camel/component/rabbitmq/RabbitMQProducerTest.java,2,,,components/camel-rabbitmq/src/test/java/org/apache/camel/component/rabbitmq/RabbitMQProducerTest.java,0,7,0,7,148,149,15,15,0,0.0472972972972973,0,0.0469798657718121,
NON-ATD-2,,,,CAMEL-10291,,,,components/camel-rabbitmq/src/test/java/org/apache/camel/component/rabbitmq/testbeans/TestSerializableObject.java,2,,,components/camel-rabbitmq/src/test/java/org/apache/camel/component/rabbitmq/testbeans/TestSerializableObject.java,1,0,1,0,19,19,4,4,0.0526315789473684,0,0.0526315789473684,0,
NON-ATD-3,issue section,hadoop,10432,HADOOP-10432,Refactor SSLFactory to expose static method to determine HostnameVerifier,9d16c9354b0c,2012-07-26,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/security/ssl/FileBasedKeyStoresFactory.java,5,9a2ec694fe6f1cf72b60d4f406b010bfa55ff04b,2014-04-09,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/security/ssl/FileBasedKeyStoresFactory.java,1,6,1,6,141,148,15,15,0.00709219858156028,0.0425531914893617,0.00675675675675676,0.0405405405405405,
NON-ATD-3,,,,HADOOP-10432,,,,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/security/ssl/KeyStoresFactory.java,1,,,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/security/ssl/KeyStoresFactory.java,2,3,2,3,16,16,0,0,0.125,0.1875,0.125,0.1875,
NON-ATD-3,,,,HADOOP-10432,,,,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/security/ssl/ReloadingX509TrustManager.java,2,,,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/security/ssl/ReloadingX509TrustManager.java,2,2,2,3,138,138,22,22,0.0144927536231884,0.0144927536231884,0.0144927536231884,0.0217391304347826,
NON-ATD-3,,,,HADOOP-10432,,,,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/security/ssl/SSLFactory.java,5,,,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/security/ssl/SSLFactory.java,6,6,10,8,129,152,22,26,0.0465116279069767,0.0465116279069767,0.0657894736842105,0.0526315789473684,
NON-ATD-3,,,,HADOOP-10432,,,,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/security/ssl/SSLHostnameVerifier.java,3,,,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/security/ssl/SSLHostnameVerifier.java,1,2,1,2,314,329,68,68,0.00318471337579618,0.00636942675159236,0.00303951367781155,0.0060790273556231,
NON-ATD-3,,,,HADOOP-10432,,,,hadoop-common-project/hadoop-common/src/test/java/org/apache/hadoop/security/ssl/KeyStoreTestUtil.java,2,,,hadoop-common-project/hadoop-common/src/test/java/org/apache/hadoop/security/ssl/KeyStoreTestUtil.java,3,3,8,3,211,233,12,22,0.014218009478673,0.014218009478673,0.0343347639484979,0.0128755364806867,
NON-ATD-3,,,,HADOOP-10432,,,,hadoop-common-project/hadoop-common/src/test/java/org/apache/hadoop/security/ssl/TestReloadingX509TrustManager.java,1,,,hadoop-common-project/hadoop-common/src/test/java/org/apache/hadoop/security/ssl/TestReloadingX509TrustManager.java,0,3,0,3,124,124,6,6,0,0.0241935483870968,0,0.0241935483870968,
NON-ATD-3,,,,HADOOP-10432,,,,hadoop-common-project/hadoop-common/src/test/java/org/apache/hadoop/security/ssl/TestSSLFactory.java,3,,,hadoop-common-project/hadoop-common/src/test/java/org/apache/hadoop/security/ssl/TestSSLFactory.java,0,4,0,4,126,206,12,19,0,0.0317460317460317,0,0.0194174757281553,
NON-ATD-3,,,,HADOOP-10432,,,,hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-app/src/main/java/org/apache/hadoop/mapreduce/v2/app/job/impl/TaskImpl.java,17,,,hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-app/src/main/java/org/apache/hadoop/mapreduce/v2/app/job/impl/TaskImpl.java,3,55,6,61,798,979,117,145,0.0037593984962406,0.068922305764411,0.00612870275791624,0.0623084780388151,
NON-ATD-3,,,,HADOOP-10432,,,,hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-core/src/main/java/org/apache/hadoop/mapreduce/MRConfig.java,9,,,hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-core/src/main/java/org/apache/hadoop/mapreduce/MRConfig.java,86,1,72,2,50,73,0,0,1.72,0.02,0.986301369863014,0.0273972602739726,
NON-ATD-3,,,,HADOOP-10432,,,,hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-core/src/main/java/org/apache/hadoop/mapreduce/task/reduce/Fetcher.java,14,,,hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-core/src/main/java/org/apache/hadoop/mapreduce/task/reduce/Fetcher.java,1,25,3,18,424,413,62,69,0.00235849056603774,0.0589622641509434,0.00726392251815981,0.0435835351089588,
NON-ATD-3,,,,HADOOP-10432,,,,hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-jobclient/src/test/java/org/apache/hadoop/mapreduce/security/ssl/TestEncryptedShuffle.java,5,,,hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-jobclient/src/test/java/org/apache/hadoop/mapreduce/security/ssl/TestEncryptedShuffle.java,0,13,0,15,145,137,12,12,0,0.0896551724137931,0,0.109489051094891,
NON-ATD-3,,,,HADOOP-10432,,,,hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-shuffle/src/main/java/org/apache/hadoop/mapred/ShuffleHandler.java,20,,,hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-shuffle/src/main/java/org/apache/hadoop/mapred/ShuffleHandler.java,6,32,6,38,466,687,56,87,0.0128755364806867,0.0686695278969957,0.00873362445414847,0.0553129548762737,
NON-ATD-4,issue section,hadoop,12202,HADOOP-12202,"After HADOOP-11807, releasedocmaker is dropping missing component and assignee entries. It shouldn't drop entries, even if they are errors that lint mode will flag.",f383fd9b6caf,2015-04-02,dev-support/releasedocmaker.py,8,d7697831e3b24bec149990feed819e7d96f78184,2015-07-25,dev-support/releasedocmaker.py,0,0,0,0,359,442,96,122,0,0,0,0,
NON-ATD-5,issue section,hadoop,12302,HADOOP-12302,"HADOOP-7824 introduced a way to set the java static values for POSIX flags, this resulted in compilation error in Windows",dbd07f9e8c28,2010-12-01,src/java/org/apache/hadoop/io/SecureIOUtils.java,3,79ed0f959ffc490414ca56a73e026500c24e7078,2015-08-05,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/io/SecureIOUtils.java,1,10,7,8,119,168,19,27,0.00840336134453782,0.0840336134453782,0.0416666666666667,0.0476190476190476,
NON-ATD-5,,,,HADOOP-12302,,,,src/java/org/apache/hadoop/io/nativeio/Errno.java,2,,,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/io/nativeio/Errno.java,3,0,3,0,38,42,0,0,0.0789473684210526,0,0.0714285714285714,0,
NON-ATD-5,,,,HADOOP-12302,,,,src/java/org/apache/hadoop/io/nativeio/NativeIO.java,4,,,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/io/nativeio/NativeIO.java,3,1,39,12,76,592,9,101,0.0394736842105263,0.0131578947368421,0.0658783783783784,0.0202702702702703,
NON-ATD-5,,,,HADOOP-12302,,,,src/java/org/apache/hadoop/io/nativeio/NativeIOException.java,2,,,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/io/nativeio/NativeIOException.java,2,1,7,2,16,31,3,6,0.125,0.0625,0.225806451612903,0.0645161290322581,
NON-ATD-5,,,,HADOOP-12302,,,,src/native/src/org/apache/hadoop/io/nativeio/NativeIO.c,4,,,hadoop-common-project/hadoop-common/src/main/native/src/org/apache/hadoop/io/nativeio/NativeIO.c,0,16,0,25,186,933,32,209,0,0.0860215053763441,0,0.0267952840300107,
NON-ATD-5,,,,HADOOP-12302,,,,src/native/src/org/apache/hadoop/io/nativeio/errno_enum.c,2,,,hadoop-common-project/hadoop-common/src/main/native/src/org/apache/hadoop/io/nativeio/errno_enum.c,0,4,0,4,88,92,9,9,0,0.0454545454545455,0,0.0434782608695652,
NON-ATD-5,,,,HADOOP-12302,,,,src/native/src/org/apache/hadoop/io/nativeio/errno_enum.h,2,,,hadoop-common-project/hadoop-common/src/main/native/src/org/apache/hadoop/io/nativeio/errno_enum.h,1,1,1,1,7,7,0,0,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,
NON-ATD-5,,,,HADOOP-12302,,,,src/native/src/org/apache/hadoop/io/nativeio/file_descriptor.c,2,,,hadoop-common-project/hadoop-common/src/main/native/src/org/apache/hadoop/io/nativeio/file_descriptor.c,0,3,0,3,33,66,6,12,0,0.0909090909090909,0,0.0454545454545455,
NON-ATD-5,,,,HADOOP-12302,,,,src/native/src/org/apache/hadoop/io/nativeio/file_descriptor.h,2,,,hadoop-common-project/hadoop-common/src/main/native/src/org/apache/hadoop/io/nativeio/file_descriptor.h,2,1,5,2,8,15,0,0,0.25,0.125,0.333333333333333,0.133333333333333,
NON-ATD-5,,,,HADOOP-12302,,,,src/native/src/org_apache_hadoop.h,3,,,hadoop-common-project/hadoop-common/src/main/native/src/org_apache_hadoop.h,7,0,30,3,65,104,5,10,0.107692307692308,0,0.288461538461538,0.0288461538461538,
NON-ATD-5,,,,HADOOP-12302,,,,src/test/core/org/apache/hadoop/io/TestSecureIOUtils.java,3,,,hadoop-common-project/hadoop-common/src/test/java/org/apache/hadoop/io/TestSecureIOUtils.java,0,8,0,7,56,102,6,12,0,0.142857142857143,0,0.0686274509803922,
NON-ATD-5,,,,HADOOP-12302,,,,src/test/core/org/apache/hadoop/io/nativeio/TestNativeIO.java,4,,,hadoop-common-project/hadoop-common/src/test/java/org/apache/hadoop/io/nativeio/TestNativeIO.java,0,5,0,14,101,529,11,70,0,0.0495049504950495,0,0.0264650283553875,
NON-ATD-6,issue section,hbase,13710,HBASE-13710,Remove use of Hadoop's ReflectionUtil in favor of our own.,a6f8131f9d4,2013-02-20,hbase-common/src/main/java/org/apache/hadoop/hbase/util/ReflectionUtils.java,5,353b046d6c5cf028ed509d238eafa46b6b3ec7a3,2015-05-28,hbase-common/src/main/java/org/apache/hadoop/hbase/util/ReflectionUtils.java,2,0,19,1,27,145,6,40,0.0740740740740741,0,0.131034482758621,0.00689655172413793,
NON-ATD-6,,,,HBASE-13710,,,,hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/DefaultStoreEngine.java,12,,,hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/DefaultStoreEngine.java,0,7,4,14,21,87,2,9,0,0.333333333333333,0.0459770114942529,0.160919540229885,
NON-ATD-6,,,,HBASE-13710,,,,hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/HStore.java,106,,,hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/HStore.java,31,51,36,72,1306,1655,232,312,0.0237366003062787,0.0390505359877489,0.0217522658610272,0.0435045317220544,
